"query","full_name","html_url","description","language","stars","forks","pushed_at","created_at","updated_at","topics","license","archived","trend_score"
"topic:rag pushed:>2026-02-01 stars:>100","langgenius/dify","https://github.com/langgenius/dify","Production-ready platform for agentic workflow development.","TypeScript","134496","20936","2026-03-26T05:55:24Z","2023-04-12T07:40:24Z","2026-03-26T06:21:01Z","agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow","NOASSERTION","False","4667.71"
"topic:ai-agents pushed:>2026-02-01 stars:>50","firecrawl/firecrawl","https://github.com/firecrawl/firecrawl","🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data","TypeScript","98392","6628","2026-03-26T06:09:37Z","2024-04-15T21:02:29Z","2026-03-26T06:21:38Z","ai,ai-agents,ai-crawler,ai-scraping,ai-search,crawler,data-extraction,html-to-markdown,llm,markdown,scraper,scraping,web-crawler,web-data,web-data-extraction,web-scraper,web-scraping,web-search,webscraping","AGPL-3.0","False","4655.94"
"topic:llm-agents pushed:>2026-02-01 stars:>20","aiming-lab/AutoResearchClaw","https://github.com/aiming-lab/AutoResearchClaw","Fully autonomous & self-evolving research from idea to paper. Chat an Idea. Get a Paper. 🦞","Python","8776","935","2026-03-24T20:22:13Z","2026-03-15T03:38:49Z","2026-03-26T06:16:53Z","autonomous-research,citation-verification,llm-agents,metaclaw,multi-agent-debate,openclaw,paper-generation,scientific-discovery,self-evolving","MIT","False","3334.04"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","bytedance/deer-flow","https://github.com/bytedance/deer-flow","An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.","Python","46948","5573","2026-03-26T06:20:18Z","2025-05-07T02:50:19Z","2026-03-26T06:22:28Z","agent,agentic,agentic-framework,agentic-workflow,ai,ai-agents,deep-research,harness,langchain,langgraph,langmanus,llm,multi-agent,nodejs,podcast,python,superagent,typescript","MIT","False","3291.44"
"topic:ai-agents pushed:>2026-02-01 stars:>50","jackwener/opencli","https://github.com/jackwener/opencli","Make Any Website & Tool Your CLI. A universal CLI Hub and AI-native runtime. Transform any website, Electron app, or local binary into a standardized command-line interface. Built for AI Agents to discover, learn, and execute tools seamlessly via a unified AGENT.md integration.","TypeScript","7146","571","2026-03-26T06:19:51Z","2026-03-14T22:10:23Z","2026-03-26T06:20:25Z","ai-agent,ai-agents,ai-tools,cli","Apache-2.0","False","2714.8"
"topic:rag pushed:>2026-02-01 stars:>100","volcengine/OpenViking","https://github.com/volcengine/OpenViking","OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving.","Python","19133","1319","2026-03-26T06:01:48Z","2026-01-05T07:11:17Z","2026-03-26T06:22:03Z","agent,agentic-rag,ai-agents,clawbot,context-database,context-engineering,filesystem,llm,memory,openclaw,opencode,rag,skill","Apache-2.0","False","2695.31"
"topic:ai-agents pushed:>2026-02-01 stars:>50","crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","Python","47242","6384","2026-03-26T06:20:12Z","2023-10-27T03:26:59Z","2026-03-26T06:17:05Z","agents,ai,ai-agents,aiagentframework,llms","MIT","False","2005.45"
"topic:ai-agents pushed:>2026-02-01 stars:>50","BloopAI/vibe-kanban","https://github.com/BloopAI/vibe-kanban","Get 10X more out of Claude Code, Codex or any coding agent","Rust","23815","2355","2026-03-26T06:21:20Z","2025-06-14T19:10:21Z","2026-03-26T06:10:50Z","agent,ai-agents,kanban,management,task-manager","Apache-2.0","False","1780.58"
"topic:rag pushed:>2026-02-01 stars:>100","simstudioai/sim","https://github.com/simstudioai/sim","Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.","TypeScript","27214","3456","2026-03-26T06:05:21Z","2025-01-05T22:47:49Z","2026-03-26T05:55:04Z","agent-workflow,agentic-workflow,agents,ai,aiagents,anthropic,artificial-intelligence,automation,chatbot,deepseek,gemini,low-code,nextjs,no-code,openai,rag,react,typescript","Apache-2.0","False","1627.31"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","openai/openai-agents-python","https://github.com/openai/openai-agents-python","A lightweight, powerful framework for multi-agent workflows","Python","20317","3321","2026-03-26T06:06:41Z","2025-03-11T03:42:36Z","2026-03-26T06:19:49Z","agents,ai,framework,llm,openai,python","MIT","False","1313.22"
"""llm agent"" language:Python pushed:>2026-02-01 stars:>50","wanshuiyin/Auto-claude-code-research-in-sleep","https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep","ARIS ⚔️ (Auto-Research-In-Sleep) — Lightweight Markdown-only skills for autonomous ML research: cross-model review loops, idea discovery, and experiment automation. No framework, no lock-in — works with Claude Code, Codex, OpenClaw, or any LLM agent.","Python","4105","329","2026-03-25T12:10:21Z","2026-03-10T07:31:45Z","2026-03-26T06:13:24Z","ai-research,ai-tools,aris,autonomous-agent,claude,claude-code,claude-code-skills,codex,deep-learning,gpt,idea-generation,llm,machine-learning,mcp,mcp-server,ml-research,openai,paper-review,paper-writing,research-automation","MIT","False","1293.08"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","google/adk-python","https://github.com/google/adk-python","An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.","Python","18596","3125","2026-03-26T06:13:29Z","2025-04-01T20:44:40Z","2026-03-26T06:13:37Z","agent,agentic,agentic-ai,agents,agents-sdk,ai,ai-agents,aiagentframework,genai,genai-chatbot,llm,llms,multi-agent,multi-agent-systems,multi-agents,multi-agents-collaboration","Apache-2.0","False","1238.36"
"topic:rag pushed:>2026-02-01 stars:>100","milvus-io/milvus","https://github.com/milvus-io/milvus","Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search","Go","43476","3912","2026-03-26T05:37:35Z","2019-09-16T06:43:43Z","2026-03-26T05:37:45Z","anns,cloud-native,diskann,distributed,embedding-database,embedding-similarity,embedding-store,faiss,golang,hnsw,image-search,llm,nearest-neighbor-search,rag,vector-database,vector-search,vector-similarity,vector-store","Apache-2.0","False","1122.17"
"topic:rag pushed:>2026-02-01 stars:>100","alibaba/zvec","https://github.com/alibaba/zvec","A lightweight, lightning-fast, in-process vector database","C++","9166","524","2026-03-26T06:15:37Z","2025-12-05T07:45:38Z","2026-03-26T06:06:20Z","agent-memory,ann-search,embedded-database,local,nodejs,python,rag,vector-search,vectordb","Apache-2.0","False","1096.2"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","agentscope-ai/agentscope","https://github.com/agentscope-ai/agentscope","Build and run agents you can see, understand and trust.","Python","19972","1930","2026-03-26T03:47:50Z","2024-01-12T03:41:59Z","2026-03-26T06:16:28Z","agent,chatbot,large-language-models,llm,llm-agent,mcp,multi-agent,multi-modal,react-agent","Apache-2.0","False","887.49"
"topic:rag pushed:>2026-02-01 stars:>100","1Panel-dev/MaxKB","https://github.com/1Panel-dev/MaxKB","🔥 MaxKB is an open-source platform for building enterprise-grade agents.  强大易用的开源企业级智能体平台。","Python","20577","2736","2026-03-26T04:57:55Z","2023-09-14T02:05:12Z","2026-03-26T06:18:02Z","agent,agentic-ai,chatbot,deepseek-r1,knowledgebase,langchain,llama3,llm,maxkb,mcp-server,ollama,pgvector,qwen3,rag","GPL-3.0","False","852.94"
"topic:ai-agents pushed:>2026-02-01 stars:>50","superset-sh/superset","https://github.com/superset-sh/superset","IDE for the AI Agents Era - Run an army of Claude Code, Codex, etc. on your machine","TypeScript","7966","595","2026-03-26T05:54:19Z","2025-10-21T09:16:51Z","2026-03-26T06:07:27Z","agentic-ai,ai-agents,claude-code,cli,codex,coding-agents,cursor-agent,desktop-app,developer-tools,electron,git-worktree,llm,mcp,opencode,orchestration,parallel-agents,terminal,tui,vibe-coding,worktrees","NOASSERTION","False","727.08"
"topic:rag pushed:>2026-02-01 stars:>100","promptfoo/promptfoo","https://github.com/promptfoo/promptfoo","Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.","TypeScript","18508","1587","2026-03-26T06:19:29Z","2023-04-28T15:48:49Z","2026-03-26T06:19:33Z","ci,ci-cd,cicd,evaluation,evaluation-framework,llm,llm-eval,llm-evaluation,llm-evaluation-framework,llmops,pentesting,prompt-engineering,prompt-testing,prompts,rag,red-teaming,testing,vulnerability-scanners","MIT","False","715.26"
"topic:rag pushed:>2026-02-01 stars:>100","eosphoros-ai/DB-GPT","https://github.com/eosphoros-ai/DB-GPT","open-source agentic AI data assistant for the next generation of AI + Data products.","Python","18372","2589","2026-03-26T05:26:27Z","2023-04-13T14:52:43Z","2026-03-26T05:49:50Z","agents,bgi,database,deepseek,gpt,gpt-4,hacktoberfest,llm,private,rag,security,vicuna","MIT","False","705.05"
"topic:ai-agents pushed:>2026-02-01 stars:>50","activepieces/activepieces","https://github.com/activepieces/activepieces","AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents","TypeScript","21420","3458","2026-03-26T06:04:34Z","2022-12-03T02:52:46Z","2026-03-26T06:04:40Z","ai-agent,ai-agent-tools,ai-agents,ai-agents-framework,mcp,mcp-server,mcp-tools,mcps,n8n-alternative,no-code-automation,workflow,workflow-automation,workflows","NOASSERTION","False","702.28"
"topic:rag pushed:>2026-02-01 stars:>100","Canner/WrenAI","https://github.com/Canner/WrenAI","⚡️ GenBI (Generative BI) queries any database in natural language, generates accurate SQL (Text-to-SQL), charts (Text-to-Chart), and AI-powered business intelligence in seconds.","TypeScript","14689","1586","2026-03-26T06:09:58Z","2024-03-13T06:18:20Z","2026-03-26T05:54:41Z","agent,anthropic,bedrock,bigquery,business-intelligence,charts,duckdb,genbi,llm,openai,postgresql,rag,spreadsheets,sql,sqlai,text-to-chart,text-to-sql,text2sql,vertex","AGPL-3.0","False","679"
"topic:rag pushed:>2026-02-01 stars:>100","onyx-dot-app/onyx","https://github.com/onyx-dot-app/onyx","Open Source AI Platform - AI Chat with advanced features that works with every LLM","Python","18031","2456","2026-03-26T06:20:21Z","2023-04-27T06:04:01Z","2026-03-26T06:10:03Z","ai,ai-chat,chatgpt,chatui,enterprise-search,gen-ai,information-retrieval,llm,llm-ui,nextjs,python,rag,self-hosted,vector-search","NOASSERTION","False","630.16"
"topic:rag pushed:>2026-02-01 stars:>100","codexu/note-gen","https://github.com/codexu/note-gen","A cross-platform Markdown AI note-taking software.","TypeScript","11127","824","2026-03-26T05:08:55Z","2024-08-06T05:20:16Z","2026-03-26T06:01:20Z","agent,chatbot,knowledge-base,llm,markdown,mcp,nextjs,note-taking,rag,tauri,webdav","GPL-3.0","False","573.8"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","microsoft/agent-framework","https://github.com/microsoft/agent-framework","A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.","Python","8204","1369","2026-03-26T05:59:02Z","2025-04-28T19:40:42Z","2026-03-26T06:20:24Z","agent-framework,agentic-ai,agents,ai,dotnet,multi-agent,orchestration,python,sdk,workflows","MIT","False","568.18"
"topic:ai-agents pushed:>2026-02-01 stars:>50","InsForge/InsForge","https://github.com/InsForge/InsForge","Give agents everything they need to ship fullstack apps. The backend built for agentic development. ","TypeScript","5058","529","2026-03-26T06:14:36Z","2025-07-29T05:56:00Z","2026-03-26T06:05:43Z","ai,ai-agents,coding,deno,embeddings,insforge,nextjs,oauth2,pgvector,postgresql,realtime,vectors,websockets","Apache-2.0","False","411.38"
"topic:llm-agents pushed:>2026-02-01 stars:>20","alvinunreal/awesome-autoresearch","https://github.com/alvinunreal/awesome-autoresearch","A curated list of autonomous improvement loops, research agents, and autoresearch-style systems inspired by Karpathy's autoresearch.",,"648","48","2026-03-25T17:37:02Z","2026-03-20T11:55:51Z","2026-03-26T05:50:20Z","agentic-systems,ai-agents,ai-research,ai-tools,autonomous-agents,autoresearch,awesome-list,claude-code,experiment-loops,karpathy,karpathy-inspired,llm-agents,research-agents,scientific-discovery,self-improving-systems","NOASSERTION","False","301.58"
"topic:rag pushed:>2026-02-01 stars:>100","cactus-compute/cactus","https://github.com/cactus-compute/cactus","Low-latency AI engine for mobile devices & wearables","C","4522","336","2026-03-26T05:50:43Z","2025-04-23T14:33:43Z","2026-03-26T05:50:47Z","ai,android,arm,edge,edge-ai,framework,ios,llamacpp,llm,llm-inference,llms,mobile,mobile-inference,on-device-ai,quantiz,rag,smartphone,speech,transformer,whisper","NOASSERTION","False","280.82"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","Q00/ouroboros","https://github.com/Q00/ouroboros","Stop prompting. Start specifying.","Python","1829","163","2026-03-26T06:20:20Z","2026-01-14T01:14:04Z","2026-03-26T05:49:59Z","ai-agent,claude-code,codex-cli,devtools,evaluation,llm,mcp,multi-agent,prompt-engineering,python,spec-driven-development,workflow-automation","MIT","False","273.5"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","MervinPraison/PraisonAI","https://github.com/MervinPraison/PraisonAI","PraisonAI 🦞 - Your 24/7 AI employee team. Automate and solve complex challenges with low-code multi-agent AI that plans, researches, codes, and delivers to Telegram, Discord, and WhatsApp. Handoffs, guardrails, memory, RAG, 100+ LLMs.","Python","5728","782","2026-03-26T03:13:27Z","2024-03-19T16:45:25Z","2026-03-26T03:43:52Z","agents,ai,ai-agent-framework,ai-agent-sdk,ai-agents,ai-agents-framework,ai-agents-sdk,ai-framwork,aiagent,aiagentframework,aiagents,aiagentsframework,claw,framework,multi-agent,multi-agent-system,multi-agent-systems,multi-agents,multi-ai-agents,openclaw","MIT","False","265.85"
"topic:llm-agents pushed:>2026-02-01 stars:>20","IBM/mcp-context-forge","https://github.com/IBM/mcp-context-forge","An AI Gateway, registry, and proxy that sits in front of any MCP, A2A, or REST/gRPC APIs, exposing a unified endpoint with centralized discovery, guardrails and management. Optimizes Agent & Tool calling, and supports plugins.","Python","3472","599","2026-03-26T06:02:49Z","2025-05-08T08:16:59Z","2026-03-25T23:00:31Z","agents,ai,api-gateway,asyncio,authentication-middleware,devops,docker,fastapi,federation,gateway,generative-ai,jwt,kubernetes,llm-agents,mcp,model-context-protocol,observability,prompt-engineering,python,tools","Apache-2.0","False","243.79"
"""knowledge base"" ""agent"" language:Python pushed:>2026-02-01 stars:>20","Mirix-AI/MIRIX","https://github.com/Mirix-AI/MIRIX","Mirix is a multi-agent personal assistant designed to track on-screen activities and answer user questions intelligently. By capturing real-time visual data and consolidating it into structured memories, Mirix transforms raw inputs into a rich knowledge base that adapts to your digital experiences.","Python","3516","280","2026-03-12T17:36:20Z","2025-04-11T12:24:52Z","2026-03-25T17:21:39Z","llm-agents,llm-memory,memory-agents,personal-assistant","Apache-2.0","False","237.14"
"""knowledge base"" ""agent"" language:Python pushed:>2026-02-01 stars:>20","xerrors/Yuxi-Know","https://github.com/xerrors/Yuxi-Know","结合LightRAG 知识库的知识图谱智能体平台。 An agent platform that integrates a LightRAG knowledge base and knowledge graphs. Build with LangChain v1 + Vue + FastAPI, support DeepAgents、MinerU PDF、Neo4j 、MCP.","Python","4669","620","2026-03-26T06:07:27Z","2024-07-05T10:57:35Z","2026-03-26T06:07:30Z","docker,fastapi,kbqa,kgqa,llms,neo4j,rag,vue","MIT","False","234.57"
"""llm agent"" language:Python pushed:>2026-02-01 stars:>50","Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","🐢 Open-Source Evaluation & Testing library for LLM Agents","Python","5199","418","2026-03-26T01:33:55Z","2022-03-06T21:45:37Z","2026-03-26T05:35:46Z","agent-evaluation,ai-red-team,ai-security,ai-testing,fairness-ai,llm,llm-eval,llm-evaluation,llm-security,llmops,ml-testing,ml-validation,mlops,rag-evaluation,red-team-tools,responsible-ai,trustworthy-ai","Apache-2.0","False","170.28"
"topic:rag pushed:>2026-02-01 stars:>100","gptme/gptme","https://github.com/gptme/gptme","Your agent in your terminal, equipped with local tools: writes code, uses the terminal, browses the web. Make your own persistent autonomous agent on top!","Python","4247","366","2026-03-26T04:54:40Z","2023-03-24T16:25:01Z","2026-03-26T05:57:02Z","agent,agents,ai-agents,ai-assistant,anthropic,chatbot,chatgpt,cli,code-generation,llamacpp,llm,llm-agent,llm-apps,openai,openrouter,rag","MIT","False","161.49"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","SolaceLabs/solace-agent-mesh","https://github.com/SolaceLabs/solace-agent-mesh","An event-driven framework designed to build and orchestrate multi-agent AI systems. It enables seamless integration of AI agents with real-world data sources and systems, facilitating complex, multi-step workflows.","Python","2510","136","2026-03-26T02:52:39Z","2025-01-10T17:11:47Z","2026-03-26T06:21:29Z","a2a,agentframework,agentic,agentic-ai,agentic-framework,agentic-workflow,agenticai,agents,ai,ai-agents,aiagentframework,aiframework,enterprise,event-driven-architecture,framework,mcp,multi-agent,multi-agent-systems,multiagent,rag","Apache-2.0","False","150.77"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","pocketpaw/pocketpaw","https://github.com/pocketpaw/pocketpaw","Your AI agent in 30 seconds. Not 30 hours. Self-hosted, open-source personal AI with desktop installer, multi-agent Command Center(Deep Work), and 7-layer security. Anthropic, OpenAI, or Ollama.","Python","692","259","2026-03-26T05:49:49Z","2026-02-02T19:48:57Z","2026-03-26T05:57:32Z","ai-agents,cli,jarvis-assistant,multi-agent-systems,ollama,open-source,personal-assistant,python,security,self-hosted,telegram-bot-ai-assistant","MIT","False","122.09"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","dimensionalOS/dimos","https://github.com/dimensionalOS/dimos","Dimensional is the agentic operating system for physical space. Vibecode humanoids, quadrupeds, drones, and other hardware platforms in natural language and build multi-agent systems that work seamlessly with physical input (cameras, lidar, actuators).","Python","2271","350","2026-03-26T06:19:22Z","2024-10-19T20:13:16Z","2026-03-26T05:54:22Z","","NOASSERTION","False","113.31"
"topic:rag pushed:>2026-02-01 stars:>100","onestardao/WFGY","https://github.com/onestardao/WFGY","WFGY is an open-source AI Troubleshooting Atlas for RAG, agents, and real-world AI workflows. Includes the 16-problem map, Global Debug Card, and WFGY 3.0. ⭐ Star to help more builders find this repo.","Jupyter Notebook","1680","153","2026-03-26T06:14:00Z","2025-06-04T13:45:14Z","2026-03-26T06:14:03Z","ai-agents,alignment,debugging,evaluation,graphrag,hallucination,information-retrieval,knowledge-graph,llm,rag,reasoning,retrieval-augmented-generation","NOASSERTION","False","111.51"
"topic:rag pushed:>2026-02-01 stars:>100","chopratejas/headroom","https://github.com/chopratejas/headroom","The Context Optimization Layer for LLM Applications","Python","770","81","2026-03-26T06:15:28Z","2026-01-07T19:58:51Z","2026-03-26T06:15:31Z","agent,ai,anthropic,compression,context-engineering,context-window,fastapi,langchain,llm,mcp,openai,proxy,python,rag,token-optimization","Apache-2.0","False","110.56"
"topic:ai-agents pushed:>2026-02-01 stars:>50","OpenRaiser/NanoResearch","https://github.com/OpenRaiser/NanoResearch","🦞+🔬: NanoResearch: The Autonomous AI Research Assistant","Python","259","22","2026-03-26T06:12:32Z","2026-03-17T10:20:31Z","2026-03-26T06:12:35Z","agent-skills,agents,ai,ai-agents,ai-scientist,artificial-intelligence,autonomous-agents,autonomous-research,autoresearch,claude-code,claude-skills,nanobot,openclaw","MIT","False","108.78"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","doobidoo/mcp-memory-service","https://github.com/doobidoo/mcp-memory-service","Open-source persistent memory for AI agent pipelines (LangGraph, CrewAI, AutoGen) and Claude. REST API + knowledge graph + autonomous consolidation.","Python","1551","222","2026-03-26T06:19:53Z","2024-12-26T10:15:44Z","2026-03-26T06:19:56Z","agent-memory,agentic-ai,ai-agents,autogen,claude,crewai,knowledge-graph,langgraph,long-term-memory,mcp,mcp-server,memory,model-context-protocol,multi-agent,open-source,rag,semantic-search,sqlite-vec,vector-database,vector-storage","Apache-2.0","False","91.62"
"topic:ai-agents pushed:>2026-02-01 stars:>50","microsoft/agent-governance-toolkit","https://github.com/microsoft/agent-governance-toolkit","AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.","Python","330","59","2026-03-26T06:15:14Z","2026-03-02T22:11:47Z","2026-03-26T06:15:10Z","agent-framework,ai-agents,ai-safety,compliance,governance,microsoft,owasp,policy-engine,python,security,trust,zero-trust","MIT","False","86.7"
"topic:ai-agents pushed:>2026-02-01 stars:>50","first-fluke/oh-my-agent","https://github.com/first-fluke/oh-my-agent","Portable multi-agent harness for .agents-based skills, workflows, and standards-aware agent teams across Antigravity, Claude Code, Codex, OpenCode, and more.","TypeScript","498","60","2026-03-26T06:21:58Z","2026-01-30T11:29:46Z","2026-03-26T06:21:24Z","agent-harness,agent-skills,agentic-coding,ai-agents,claude-code,codex,cursor,multi-agent,multi-agent-systems,oh-my-agent,opencode,orchestration,orchestrator,serena","MIT","False","84.61"
"""llm agent"" language:Python pushed:>2026-02-01 stars:>50","AgentR1/Agent-R1","https://github.com/AgentR1/Agent-R1","Agent-R1: Training Powerful LLM Agents with End-to-End Reinforcement Learning","Python","1304","84","2026-03-25T02:37:49Z","2025-03-04T02:29:05Z","2026-03-26T04:10:10Z","agent,agentic-rl,llm","MIT","False","83.52"
"topic:llm-agents pushed:>2026-02-01 stars:>20","stripe/ai","https://github.com/stripe/ai","One-stop shop for building AI-powered products and businesses with Stripe.","TypeScript","1407","237","2026-03-26T00:49:27Z","2024-11-11T17:13:41Z","2026-03-26T03:43:47Z","ai,llm,llm-agents,mcp,python,typescript,workflows","MIT","False","79.28"
"""llm agent"" language:Python pushed:>2026-02-01 stars:>50","melih-unsal/DemoGPT","https://github.com/melih-unsal/DemoGPT","🤖 Everything you need to create an LLM Agent—tools, prompts, frameworks, and models—all in one place.","Python","1890","224","2026-03-19T15:59:04Z","2023-06-07T09:56:20Z","2026-03-26T03:17:25Z","agent,agents,ai,artificial-intelligence,autogpt,autonomous-agents,chatgpt,chatgpt-api,deepseek,demo,gpt-4,langchain,langchain-app,langchain-python,llms,o1,openai,python,streamlit,streamlit-application","MIT","False","74.46"
"""knowledge base"" ""agent"" language:Python pushed:>2026-02-01 stars:>20","IAAR-Shanghai/Awesome-AI-Memory","https://github.com/IAAR-Shanghai/Awesome-AI-Memory","Awesome AI Memory | LLM Memory | A curated knowledge base on AI memory for LLMs and agents, covering long-term memory, reasoning, retrieval, and memory-native system design.  Awesome-AI-Memory 是一个 集中式、持续更新的 AI 记忆知识库，系统性整理了与 大模型记忆（LLM Memory）与智能体记忆（Agent Memory） 相关的前沿研究、工程框架、系统设计、评测基准与真实应用实践。","Python","612","50","2026-03-23T06:40:36Z","2025-12-01T14:23:20Z","2026-03-26T01:38:22Z","agent-memory,ai-memory,ai-memory-system,awesome-ai-memory,continual-learning,llm-memory,long-term-memory,memory-augmented-models,memory-systems,rag,reasoning-over-time","Apache-2.0","False","71.91"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","ZHangZHengEric/Sage","https://github.com/ZHangZHengEric/Sage","Multi-Agent System Framework For Complex Tasks","Python","1079","103","2026-03-26T03:26:03Z","2025-05-25T05:33:11Z","2026-03-26T06:03:52Z","agents,ai,llm,manus,muilt-agents,workflow","NONE","False","70.43"
"""llm agent"" language:Python pushed:>2026-02-01 stars:>50","NPC-Worldwide/npcpy","https://github.com/NPC-Worldwide/npcpy","The python library for research and development in NLP, multimodal LLMs, Agents, ML, Knowledge Graphs, and more.","Python","1258","86","2026-03-25T22:44:45Z","2024-09-27T07:18:20Z","2026-03-25T22:44:32Z","agents,ai,llm,mcp,mcp-client,mcp-server,ollama,perplexity,python,sql,yaml","MIT","False","67.9"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","AutoLab-SAI-SJTU/Paper2Rebuttal","https://github.com/AutoLab-SAI-SJTU/Paper2Rebuttal","Official implementation of ""Paper2Rebuttal: A Multi-Agent Framework for Transparent Author Response Assistance""","Python","475","19","2026-03-26T04:33:27Z","2026-01-19T09:03:57Z","2026-03-26T04:33:30Z","","NONE","False","66.65"
